bin_low,bin_high,blocks
0.0,0.02,159640
0.02,0.04,63832
0.04,0.06,38847
0.06,0.08,26586
0.08,0.1,19781
0.1,0.12,15229
0.12,0.14,12024
0.14,0.16,9176
0.16,0.18,7367
0.18,0.2,6221
0.2,0.22,4830
0.22,0.24,3691
0.24,0.26,2913
0.26,0.28,2400
0.28,0.3,2052
0.3,0.32,1584
0.32,0.34,1241
0.34,0.36,1115
0.36,0.38,1062
0.38,0.4,877
0.4,0.42,794
0.42,0.44,664
0.44,0.46,561
0.46,0.48,474
0.48,0.5,419
0.5,0.52,367
0.52,0.54,332
0.54,0.56,348
0.56,0.58,310
0.58,0.6,287
0.6,0.62,245
0.62,0.64,213
0.64,0.66,172
0.66,0.68,155
0.68,0.7000000000000001,143
0.7000000000000001,0.72,134
0.72,0.74,133
0.74,0.76,127
0.76,0.78,125
0.78,0.8,117
0.8,0.8200000000000001,152
0.8200000000000001,0.84,159
0.84,0.86,132
0.86,0.88,104
0.88,0.9,112
0.9,0.92,253
0.92,0.9400000000000001,255
0.9400000000000001,0.96,252
0.96,0.98,446
0.98,1.0,328
