policy,rate,l_p95,l_p95_lo,l_p95_hi,c_user,c_user_lo,c_user_hi
e1(M=16),light,185.0,183.3499999999999,185.5,99079.87034695593,98552.25264169068,100435.90224809313
e2(T=20),light,123.0,122.0,124.0,184973.91345869112,183391.50988755331,190217.65775290216
e3(greedy),light,120.55000000000018,119.0,122.0,210933.35538463376,209226.70674864063,215862.91749585405
null,light,188.0,187.0,189.80000000000018,97555.7124860984,97155.86002349255,99099.33881975111
"oracle(D=120,N=4)",light,133.29999999999973,132.0,135.0,154964.51869282793,153372.26820067898,157792.79717741936
"p2(D=120,N=1)",light,120.55000000000018,119.0,122.0,210933.35538463376,209226.70674864063,215862.91749585405
"p2(D=120,N=4)",light,140.0,139.0,141.84999999999945,158255.46432029566,156601.7142857143,164281.80016583749
p3(dqn),light,170.44999999999993,169.35999999999996,171.06499999999997,117670.05165679342,116359.22501146316,121019.4587367149
e1(M=16),matched,183.30000000000018,183.0,185.0,82905.83784744768,82811.61392779641,83001.25703878717
e2(T=20),matched,130.5,125.5,137.0,129729.06070514309,128961.83733384336,131007.1734968591
e3(greedy),matched,119.0,117.14999999999964,121.0,157445.36659086854,156021.99422292694,159366.13615479087
null,matched,191.0,188.0,193.0,79451.38936349412,79341.1733044164,79579.8817940092
"oracle(D=120,N=4)",matched,124.0,122.0,125.0,124567.03557618156,123004.69912525233,125695.56994715326
"p2(D=120,N=1)",matched,119.0,117.14999999999964,121.0,157445.36659086854,156021.99422292694,159366.13615479087
"p2(D=120,N=4)",matched,125.0,123.0,126.0,127738.0003971017,125776.04191263282,129084.2156862745
p3(dqn),matched,158.6,158.0,160.0,89704.30646970749,89272.6160967567,92373.64174342126
e1(M=16),heavy,1202.824999999999,851.0,1466.0,78637.9687195346,78612.08968695074,78649.6675149836
e2(T=20),heavy,253.5,192.0,342.0,95427.07647009089,94849.10399562278,95861.0644207149
e3(greedy),heavy,162.0,128.0,234.0,116555.54929820233,114987.4927679623,117637.05526765538
null,heavy,260.0,212.5,363.0,72097.8619464566,72065.53169463252,72153.3089905787
"oracle(D=120,N=4)",heavy,161.5,129.0,234.0,101505.69987912322,100806.77562721216,102352.71156618123
"p2(D=120,N=1)",heavy,162.0,128.0,234.0,116555.54929820233,114987.4927679623,117637.05526765538
"p2(D=120,N=4)",heavy,164.5,129.0,234.0,103021.79151506821,101643.8812106463,104386.79844299715
p3(dqn),heavy,863.3,444.0,925.7400000000001,85186.98862733821,80507.78265326505,96382.82423933546
